# Wlen(nm) Transmission Continuum
1.922218479908172185e+03 6.013422299080433131e-01 6.141995226241581118e-01
1.922225199148504316e+03 5.554326439596593001e-01 6.143042537852998475e-01
1.922231686251735937e+03 5.104690881017207582e-01 6.144050748269869189e-01
1.922238341083822661e+03 4.760222392288543936e-01 6.145082050513580585e-01
1.922244900288736972e+03 4.599435804350838763e-01 6.146095587001511040e-01
1.922251474271948609e+03 4.656927044193613918e-01 6.147108475266119809e-01
1.922258113887610307e+03 4.921064561852085961e-01 6.148128499890710419e-01
1.922264606844447599e+03 5.333632660369205247e-01 6.149123104459763844e-01
1.922271327048266585e+03 5.803844910356518172e-01 6.150149513685118086e-01
1.922277813529488867e+03 6.248495267788313212e-01 6.151137328890755596e-01
1.922284465040392888e+03 6.622721118836598642e-01 6.152147324713417298e-01
1.922291026068831798e+03 6.916541127757864782e-01 6.153140656578506285e-01
1.922297596123788253e+03 7.138327560774423430e-01 6.154132447547318030e-01
1.922304238169738028e+03 7.302718917323276493e-01 6.155132151720000833e-01
1.922310726591144203e+03 7.424344857639579853e-01 6.156105868610834975e-01
1.922317449832117518e+03 7.515219579923518856e-01 6.157111841046171152e-01
1.922323935690851158e+03 7.584215878812630152e-01 6.158079420117996694e-01
1.922330581805319298e+03 7.637670998545290635e-01 6.159067981192050123e-01
1.922337146731468692e+03 7.679768392903220109e-01 6.160041562181195474e-01
1.922343710782559128e+03 7.713132221163289115e-01 6.161012131056996521e-01
1.922350357333340753e+03 7.739286809760725916e-01 6.161991964936939237e-01
1.922356842752349849e+03 7.758840883324513715e-01 6.162945202536499467e-01
1.922363563887280407e+03 7.771489949917891327e-01 6.163930127025939454e-01
1.922370052732141176e+03 7.776267529213465313e-01 6.164878157025183159e-01
1.922376691373685389e+03 7.772381399129898449e-01 6.165845173705249982e-01
1.922383262272966931e+03 7.760341295893005142e-01 6.166799438685094392e-01
1.922389818243343825e+03 7.743545175955330873e-01 6.167748679271386480e-01
1.922396471374737757e+03 7.727186072037618425e-01 6.168709074218848842e-01
1.922402956170436482e+03 7.713854791600260885e-01 6.169642348034015678e-01
1.922409668362760385e+03 7.701585669185599947e-01 6.170605417839115647e-01
1.922416164649677057e+03 7.684103006653221213e-01 6.171534674001586396e-01
1.922422793740570569e+03 7.650674534466437304e-01 6.172480055040416858e-01
1.922429372689642832e+03 7.589758119527172386e-01 6.173415420280882193e-01
1.922435918501220840e+03 7.498665393619747821e-01 6.174343244698077271e-01
1.922442580290243086e+03 7.393211522607122665e-01 6.175284613557640023e-01
1.922449064462151910e+03 7.305032387760862500e-01 6.176198082422869051e-01
1.922455765633263354e+03 7.262600737429830700e-01 6.177139221101368705e-01
1.922462271439773303e+03 7.278733400760036831e-01 6.178050104750917315e-01
1.922468888901051287e+03 7.352553116803542954e-01 6.178973777015913660e-01
1.922475477977809305e+03 7.468741138314174410e-01 6.179890640473472141e-01
1.922482011551265259e+03 7.597600166060414217e-01 6.180796978875474634e-01
1.922488684076170330e+03 7.711172456135981790e-01 6.181719716259728159e-01
1.922495167623806992e+03 7.797764683615220349e-01 6.182613538919367047e-01
1.922501855693862808e+03 7.858868698504756223e-01 6.183532687941337702e-01
1.922508373098739867e+03 7.901324769774437096e-01 6.184425582290710155e-01
1.922514976850199673e+03 7.932440691364155416e-01 6.185327490480182488e-01
1.922521578133776757e+03 7.957170903882652135e-01 6.186226232081735166e-01
1.922528097388548531e+03 7.977795298323537843e-01 6.187111032371851449e-01
1.922534782728828759e+03 7.995108049415350360e-01 6.188015514945039985e-01
1.922541265651712592e+03 8.009544296301762678e-01 6.188889850053771458e-01
1.922547938539628831e+03 8.021469517943964345e-01 6.189786968517313470e-01
1.922554469622886018e+03 8.031110727749811717e-01 6.190662238952088225e-01
1.922561057583085358e+03 8.038695336184926710e-01 6.191542345311317197e-01
1.922567673153854230e+03 8.044515538200978089e-01 6.192423327237807085e-01
1.922574176008138920e+03 8.048864993257116573e-01 6.193286554784865894e-01
1.922580876244526280e+03 8.051982060168278998e-01 6.194173141546588379e-01
1.922587358542175707e+03 8.054025508486926110e-01 6.195028147668970586e-01
1.922594014165628778e+03 8.055078620495341735e-01 6.195903212016711237e-01
1.922600561008518753e+03 8.055159737884852733e-01 6.196761206378952336e-01
1.922607131094773422e+03 8.054233283795971809e-01 6.197619490415997578e-01
1.922613763034345538e+03 8.052208960110567304e-01 6.198483057386132700e-01
1.922620247405100145e+03 8.048921433130116210e-01 6.199324694740552255e-01
1.922626964619566252e+03 8.044101423618358337e-01 6.200193727309573077e-01
1.922633446291499467e+03 8.037423985532174964e-01 6.201029562920071792e-01
1.922640082566924548e+03 8.028632098733822220e-01 6.201882566654892681e-01
1.922646647251940522e+03 8.017756102626247827e-01 6.202723615527024892e-01
1.922653197380325537e+03 8.005417894213102681e-01 6.203560073728939805e-01
